topic,method,sample_index,ratio,time_usec,decompress_usec,uncompressed_MB,compressed_MB,compressed_zstd_MB
/os_cloud_node/points_decim_1,ZSTD only,229,0.471821,15758,5589,6,2.83093,
/os_cloud_node/points_decim_1,ZSTD only,230,0.475256,15926,5497,6,2.85154,
/os_cloud_node/points_decim_1,ZSTD only,231,0.474205,15615,5521,6,2.84523,
/os_cloud_node/points_decim_1,ZSTD only,232,0.472957,15751,5499,6,2.83774,
/os_cloud_node/points_decim_1,ZSTD only,233,0.471764,15699,5524,6,2.83059,
/os_cloud_node/points_decim_1,ZSTD only,234,0.469093,15747,5454,6,2.81456,
/os_cloud_node/points_decim_1,ZSTD only,235,0.467511,15519,5456,6,2.80506,
/os_cloud_node/points_decim_1,ZSTD only,236,0.464175,14833,5533,6,2.78505,
/os_cloud_node/points_decim_1,ZSTD only,237,0.461913,15763,5482,6,2.77148,
/os_cloud_node/points_decim_1,LZ4 only,0,0.578476,10426,1503,6,3.47086,
/os_cloud_node/points_decim_1,LZ4 only,1,0.577344,14670,1896,6,3.46406,
/os_cloud_node/points_decim_1,LZ4 only,2,0.577816,12743,1684,6,3.46689,
/os_cloud_node/points_decim_1,LZ4 only,3,0.577821,15024,1905,6,3.46693,
/os_cloud_node/points_decim_1,LZ4 only,4,0.579168,14253,1898,6,3.47501,
/os_cloud_node/points_decim_1,LZ4 only,5,0.583169,14696,1913,6,3.49902,
/os_cloud_node/points_decim_1,LZ4 only,6,0.585997,14807,1899,6,3.51598,
/os_cloud_node/points_decim_1,LZ4 only,7,0.585639,14372,1863,6,3.51384,
/os_cloud_node/points_decim_1,LZ4 only,8,0.587136,14746,1871,6,3.52282,
/os_cloud_node/points_decim_1,LZ4 only,9,0.58981,14161,1955,6,3.53886,
/os_cloud_node/points_decim_1,LZ4 only,10,0.590938,14755,1884,6,3.54563,
/os_cloud_node/points_decim_1,LZ4 only,11,0.591577,13798,1825,6,3.54946,
/os_cloud_node/points_decim_1,LZ4 only,12,0.585983,14635,1833,6,3.5159,
/os_cloud_node/points_decim_1,LZ4 only,13,0.579667,14869,1796,6,3.478,
/os_cloud_node/points_decim_1,LZ4 only,14,0.578477,14175,1882,6,3.47086,
/os_cloud_node/points_decim_1,LZ4 only,15,0.573898,15436,1989,6,3.44339,
/os_cloud_node/points_decim_1,LZ4 only,16,0.563369,14855,2006,6,3.38021,
/os_cloud_node/points_decim_1,LZ4 only,17,0.553631,14560,2025,6,3.32179,
/os_cloud_node/points_decim_1,LZ4 only,18,0.545882,8362,1402,6,3.27529,
/os_cloud_node/points_decim_1,LZ4 only,19,0.544669,13973,1950,6,3.26802,
/os_cloud_node/points_decim_1,LZ4 only,20,0.540246,14188,1896,6,3.24148,
/os_cloud_node/points_decim_1,LZ4 only,21,0.544358,8048,1365,6,3.26615,
/os_cloud_node/points_decim_1,LZ4 only,22,0.544785,14055,1906,6,3.26871,
/os_cloud_node/points_decim_1,LZ4 only,23,0.545102,14621,1939,6,3.27061,
/os_cloud_node/points_decim_1,LZ4 only,24,0.548104,14324,1934,6,3.28862,
/os_cloud_node/points_decim_1,LZ4 only,25,0.550094,14432,1959,6,3.30056,
/os_cloud_node/points_decim_1,LZ4 only,26,0.550507,14068,1970,6,3.30304,
/os_cloud_node/points_decim_1,LZ4 only,27,0.553452,14428,1978,6,3.32071,
/os_cloud_node/points_decim_1,LZ4 only,28,0.553933,14718,1976,6,3.3236,
/os_cloud_node/points_decim_1,LZ4 only,29,0.555232,14773,2007,6,3.33139,
/os_cloud_node/points_decim_1,LZ4 only,30,0.555653,14685,1976,6,3.33392,
/os_cloud_node/points_decim_1,LZ4 only,31,0.552424,14356,1984,6,3.31454,
/os_cloud_node/points_decim_1,LZ4 only,32,0.544814,14164,1976,6,3.26888,
/os_cloud_node/points_decim_1,LZ4 only,33,0.539951,19176,2262,6,3.23971,
/os_cloud_node/points_decim_1,LZ4 only,34,0.538076,26668,2460,6,3.22846,
/os_cloud_node/points_decim_1,LZ4 only,35,0.546832,27943,2563,6,3.28099,
/os_cloud_node/points_decim_1,LZ4 only,36,0.548232,29227,2447,6,3.28939,
/os_cloud_node/points_decim_1,LZ4 only,37,0.550647,27618,2580,6,3.30388,
/os_cloud_node/points_decim_1,LZ4 only,38,0.554694,30691,2716,6,3.32816,
/os_cloud_node/points_decim_1,LZ4 only,39,0.555368,26997,2526,6,3.33221,
/os_cloud_node/points_decim_1,LZ4 only,40,0.554514,24635,2391,6,3.32709,
/os_cloud_node/points_decim_1,LZ4 only,41,0.551959,26235,2492,6,3.31176,
/os_cloud_node/points_decim_1,LZ4 only,42,0.550234,27302,2571,6,3.3014,
/os_cloud_node/points_decim_1,LZ4 only,43,0.548686,25879,2441,6,3.29212,
/os_cloud_node/points_decim_1,LZ4 only,44,0.55137,28737,2668,6,3.30822,
/os_cloud_node/points_decim_1,LZ4 only,45,0.549609,29691,2612,6,3.29766,
/os_cloud_node/points_decim_1,LZ4 only,46,0.548294,26170,2459,6,3.28977,
/os_cloud_node/points_decim_1,LZ4 only,47,0.547424,26191,2454,6,3.28455,
/os_cloud_node/points_decim_1,LZ4 only,48,0.54811,26503,2495,6,3.28866,
/os_cloud_node/points_decim_1,LZ4 only,49,0.541649,27161,2512,6,3.24989,
/os_cloud_node/points_decim_1,LZ4 only,50,0.53106,24335,2380,6,3.18636,
/os_cloud_node/points_decim_1,LZ4 only,51,0.533533,28117,2575,6,3.2012,
/os_cloud_node/points_decim_1,LZ4 only,52,0.531135,29645,2569,6,3.18681,
/os_cloud_node/points_decim_1,LZ4 only,53,0.530808,25034,2375,6,3.18485,
/os_cloud_node/points_decim_1,LZ4 only,54,0.530254,27183,2477,6,3.18152,
/os_cloud_node/points_decim_1,LZ4 only,55,0.531074,26947,2505,6,3.18645,
/os_cloud_node/points_decim_1,LZ4 only,56,0.536725,28176,2572,6,3.22035,
/os_cloud_node/points_decim_1,LZ4 only,57,0.53405,28795,2614,6,3.2043,
/os_cloud_node/points_decim_1,LZ4 only,58,0.535227,28897,2600,6,3.21136,
/os_cloud_node/points_decim_1,LZ4 only,59,0.529406,28950,2630,6,3.17643,
/os_cloud_node/points_decim_1,LZ4 only,60,0.530598,26108,2480,6,3.18359,
