method,slam_method,Sequence,Compression,ATERMS,ATEMAX
cloudini,LOAM,ciampino,0.2,15.89,35.09
cloudini,LOAM,stairs,0.5,3.31,8.20
cloudini,LOAM,park,0.5,58.74,147.00
cloudini,LOAM,diag,0.5,18.38,30.84
cloudini,LOAM,ciampino,0.5,584.60,1586.31
draco,LOAM,maths_easy,NA,0.09,0.19
draco,LOAM,quad_easy,NA,0.10,0.22
draco,LOAM,colosseo,NA,2.81,6.23
draco,LOAM,pincio,NA,1.32,2.61
draco,LOAM,maths_easy_ros2,14,0.09,0.19
draco,LOAM,quad_easy_ros2,14,0.10,0.22
draco,LOAM,colosseo,14,1.90,4.05
draco,LOAM,pincio,14,0.36,0.96
draco,LOAM,maths_easy_ros2,12,0.09,0.19
draco,LOAM,quad_easy_ros2,12,0.10,0.22
draco,LOAM,colosseo,12,2.30,4.42
draco,LOAM,pincio,12,0.36,0.98
draco,LOAM,maths_easy_ros2,10,0.10,0.19
draco,LOAM,quad_easy_ros2,10,0.10,0.26
draco,LOAM,colosseo,10,2.25,5.11
draco,LOAM,pincio,10,0.37,0.87
draco,LOAM,maths_easy_ros2,8,0.14,0.32
draco,LOAM,quad_easy_ros2,8,0.11,0.27
draco,LOAM,colosseo,8,14.67,34.99
draco,LOAM,pincio,8,0.75,4.87
draco,LOAM,maths_easy_ros2,6,15.86,33.80
draco,LOAM,quad_easy_ros2,6,29.70,48.16
draco,LOAM,colosseo,6,133.98,187.65
draco,LOAM,pincio,6,65.27,132.25
draco,LOAM,underground_easy,NA,0.16,1.00
draco,LOAM,cloister,NA,0.12,0.33
draco,LOAM,campus,NA,1.62,4.50
draco,LOAM,spagna,NA,1.10,2.11
draco,LOAM,underground_easy,14,0.16,1.00
draco,LOAM,cloister_ros2,14,0.19,0.51
draco,LOAM,campus,14,1.45,4.18
draco,LOAM,spagna,14,0.92,1.82
draco,LOAM,underground_easy,12,0.16,0.99
draco,LOAM,cloister_ros2,12,0.19,0.46
draco,LOAM,campus,12,1.70,4.86
draco,LOAM,spagna,12,0.89,1.79
draco,LOAM,underground_easy,10,0.16,1.00
draco,LOAM,cloister_ros2,10,0.14,0.41
draco,LOAM,campus,10,1.46,3.93
draco,LOAM,spagna,10,0.68,1.49
draco,LOAM,underground_easy,8,0.16,1.00
draco,LOAM,cloister_ros2,8,0.16,0.44
draco,LOAM,campus,8,36.85,104.64
draco,LOAM,spagna,8,1.86,5.30
draco,LOAM,underground_easy,6,0.59,2.26
draco,LOAM,cloister_ros2,6,29.26,52.23
draco,LOAM,campus,6,220.46,474.62
draco,LOAM,spagna,6,60.20,152.13
draco,LOAM,stairs,NA,0.42,0.79
draco,LOAM,park,NA,5.75,18.30
draco,LOAM,diag,NA,0.61,1.66
draco,LOAM,ciampino,NA,5.92,16.33
draco,LOAM,stairs_ros2,14,0.34,0.71
draco,LOAM,park_ros2,14,8.59,29.29
draco,LOAM,diag,14,0.54,1.36
draco,LOAM,ciampino,14,6.04,16.01
draco,LOAM,stairs_ros2,12,0.30,0.73
draco,LOAM,park_ros2,12,6.85,25.36
draco,LOAM,diag,12,0.35,1.15
draco,LOAM,ciampino,12,7.02,17.72
draco,LOAM,stairs_ros2,10,0.31,0.62
draco,LOAM,park_ros2,10,9.92,35.09
draco,LOAM,diag,10,0.77,1.69
draco,LOAM,ciampino,10,10.67,27.77
draco,LOAM,stairs_ros2,8,0.40,0.80
draco,LOAM,park_ros2,8,39.93,165.08
draco,LOAM,diag,8,3.25,7.83
draco,LOAM,ciampino,8,276.16,584.63
draco,LOAM,stairs_ros2,6,2.46,7.41
draco,LOAM,park_ros2,6,117.68,212.52
draco,LOAM,diag,6,52.24,125.68
draco,LOAM,ciampino,6,493.24,1069.93
