data_sequence,method,byte_size,encode_speed,decode_speed,quantization_precision,gigabyte_size,slam_method,rmse,mean,median,std,min,max,sse
cloister,draco,4343748180.0,10.0,10.0,11.0,4.1,LIORF,4.508747503352447,2.596675171806472,1.3390826151652595,3.68593028977906,0.3656959154632931,15.89111312585062,56575.0616683306
cloister,draco,4312582484.0,0.0,6.0,12.0,4.0,KISS-ICP,0.4012405295508752,0.3269628841300914,0.2598455856235886,0.2325709245705473,0.0218169590105166,1.3681244822759149,448.6901736387415
cloister,draco,4418866988.0,0.0,9.0,12.0,4.1,KISS-ICP,0.4012405295508752,0.3269628841300914,0.2598455856235886,0.2325709245705473,0.0218169590105166,1.3681244822759149,448.6901736387415
cloister,draco,4312582484.0,3.0,6.0,12.0,4.0,KISS-ICP,0.4012405295508752,0.3269628841300914,0.2598455856235886,0.2325709245705473,0.0218169590105166,1.3681244822759149,448.6901736387415
cloister,draco,4418866988.0,3.0,9.0,12.0,4.1,KISS-ICP,0.4012405295508752,0.3269628841300914,0.2598455856235886,0.2325709245705473,0.0218169590105166,1.3681244822759149,448.6901736387415
cloister,draco,4312582484.0,6.0,0.0,12.0,4.0,KISS-ICP,0.4012405295508752,0.3269628841300914,0.2598455856235886,0.2325709245705473,0.0218169590105166,1.3681244822759149,448.6901736387415
cloister,draco,4312582484.0,6.0,3.0,12.0,4.0,KISS-ICP,0.4012405295508752,0.3269628841300914,0.2598455856235886,0.2325709245705473,0.0218169590105166,1.3681244822759149,448.6901736387415
cloister,draco,4312582484.0,6.0,6.0,12.0,4.0,KISS-ICP,0.4012405295508752,0.3269628841300914,0.2598455856235886,0.2325709245705473,0.0218169590105166,1.3681244822759149,448.6901736387415
cloister,draco,4418866988.0,6.0,9.0,12.0,4.1,KISS-ICP,0.4012405295508752,0.3269628841300914,0.2598455856235886,0.2325709245705473,0.0218169590105166,1.3681244822759149,448.6901736387415
cloister,draco,4418866988.0,9.0,0.0,12.0,4.1,KISS-ICP,0.4012405295508752,0.3269628841300914,0.2598455856235886,0.2325709245705473,0.0218169590105166,1.3681244822759149,448.6901736387415
cloister,draco,4418866988.0,9.0,3.0,12.0,4.1,KISS-ICP,0.4012405295508752,0.3269628841300914,0.2598455856235886,0.2325709245705473,0.0218169590105166,1.3681244822759149,448.6901736387415
cloister,draco,4418866988.0,9.0,6.0,12.0,4.1,KISS-ICP,0.4012405295508752,0.3269628841300914,0.2598455856235886,0.2325709245705473,0.0218169590105166,1.3681244822759149,448.6901736387415
cloister,draco,4418866988.0,9.0,9.0,12.0,4.1,KISS-ICP,0.4012405295508752,0.3269628841300914,0.2598455856235886,0.2325709245705473,0.0218169590105166,1.3681244822759149,448.6901736387415
cloister,draco,3619824816.0,0.0,0.0,12.0,3.4,KISS-ICP,1.0224125244626612,0.6463548381741476,0.4168224859525521,0.7921822980520223,0.0382416083980095,5.003691820297325,2913.327380686397
cloister,draco,3619824816.0,0.0,3.0,12.0,3.4,KISS-ICP,1.0224125244626612,0.6463548381741476,0.4168224859525521,0.7921822980520223,0.0382416083980095,5.003691820297325,2913.327380686397
cloister,draco,3619824816.0,3.0,0.0,12.0,3.4,KISS-ICP,1.0224125244626612,0.6463548381741476,0.4168224859525521,0.7921822980520223,0.0382416083980095,5.003691820297325,2913.327380686397
cloister,draco,3619824816.0,3.0,3.0,12.0,3.4,KISS-ICP,1.0224125244626612,0.6463548381741476,0.4168224859525521,0.7921822980520223,0.0382416083980095,5.003691820297325,2913.327380686397
cloister,draco,4418866988.0,10.0,10.0,12.0,,LOAM,0.19,,,,,0.46,
cloister,draco,4418866988.0,10.0,10.0,12.0,,SPARK-FAST-LIO,0.12,,,,,0.49,
cloister,draco,4418866988.0,10.0,10.0,12.0,,,,,,,,,
cloister,draco,3869813952.0,0.0,0.0,14.0,3.6,KISS-ICP,0.5737498494529707,0.4179472053094357,0.3156947388192408,0.3930763581307566,0.0241991668114423,2.499965045020971,917.4494357257432
cloister,draco,3869813952.0,0.0,3.0,14.0,3.6,KISS-ICP,0.5737498494529707,0.4179472053094357,0.3156947388192408,0.3930763581307566,0.0241991668114423,2.499965045020971,917.4494357257432
cloister,draco,3869813952.0,3.0,0.0,14.0,3.6,KISS-ICP,0.5737498494529707,0.4179472053094357,0.3156947388192408,0.3930763581307566,0.0241991668114423,2.499965045020971,917.4494357257432
cloister,draco,3869813952.0,3.0,3.0,14.0,3.6,KISS-ICP,0.5737498494529707,0.4179472053094357,0.3156947388192408,0.3930763581307566,0.0241991668114423,2.499965045020971,917.4494357257432
cloister,draco,4560253196.0,0.0,6.0,14.0,4.3,KISS-ICP,0.7528145092066774,0.4461263565589764,0.2640030000775648,0.6063835083967105,0.0332788708350434,3.7146218250042073,1579.4756328533165
cloister,draco,4665217692.0,0.0,9.0,14.0,4.4,KISS-ICP,0.7528145092066774,0.4461263565589764,0.2640030000775648,0.6063835083967105,0.0332788708350434,3.7146218250042073,1579.4756328533165
cloister,draco,4560253196.0,3.0,6.0,14.0,4.3,KISS-ICP,0.7528145092066774,0.4461263565589764,0.2640030000775648,0.6063835083967105,0.0332788708350434,3.7146218250042073,1579.4756328533165
cloister,draco,4665217692.0,3.0,9.0,14.0,4.4,KISS-ICP,0.7528145092066774,0.4461263565589764,0.2640030000775648,0.6063835083967105,0.0332788708350434,3.7146218250042073,1579.4756328533165
cloister,draco,4560253196.0,6.0,0.0,14.0,4.3,KISS-ICP,0.7528145092066774,0.4461263565589764,0.2640030000775648,0.6063835083967105,0.0332788708350434,3.7146218250042073,1579.4756328533165
cloister,draco,4560253196.0,6.0,3.0,14.0,4.3,KISS-ICP,0.7528145092066774,0.4461263565589764,0.2640030000775648,0.6063835083967105,0.0332788708350434,3.7146218250042073,1579.4756328533165
cloister,draco,4560253196.0,6.0,6.0,14.0,4.3,KISS-ICP,0.7528145092066774,0.4461263565589764,0.2640030000775648,0.6063835083967105,0.0332788708350434,3.7146218250042073,1579.4756328533165
cloister,draco,4665217692.0,6.0,9.0,14.0,4.4,KISS-ICP,0.7528145092066774,0.4461263565589764,0.2640030000775648,0.6063835083967105,0.0332788708350434,3.7146218250042073,1579.4756328533165
cloister,draco,4665217692.0,9.0,0.0,14.0,4.4,KISS-ICP,0.7528145092066774,0.4461263565589764,0.2640030000775648,0.6063835083967105,0.0332788708350434,3.7146218250042073,1579.4756328533165
cloister,draco,4665217692.0,9.0,3.0,14.0,4.4,KISS-ICP,0.7528145092066774,0.4461263565589764,0.2640030000775648,0.6063835083967105,0.0332788708350434,3.7146218250042073,1579.4756328533165
cloister,draco,4665217692.0,9.0,6.0,14.0,4.4,KISS-ICP,0.7528145092066774,0.4461263565589764,0.2640030000775648,0.6063835083967105,0.0332788708350434,3.7146218250042073,1579.4756328533165
cloister,draco,4665217692.0,9.0,9.0,14.0,4.4,KISS-ICP,0.7528145092066774,0.4461263565589764,0.2640030000775648,0.6063835083967105,0.0332788708350434,3.7146218250042073,1579.4756328533165
cloister,draco,4665217692.0,10.0,10.0,14.0,,LOAM,0.19,,,,,0.51,
cloister,draco,4665217692.0,10.0,10.0,14.0,,SPARK-FAST-LIO,0.14,,,,,0.55,
cloister,draco,4665217692.0,10.0,10.0,14.0,,,,,,,,,
cloister,draco,4957695480.0,0.0,6.0,16.0,4.6,KISS-ICP,0.4705303194873901,0.3211308166049809,0.2257852129936973,0.3439095523295675,0.0156034938581903,2.049774509586133,617.0384041990953
cloister,draco,5048870492.0,0.0,9.0,16.0,4.7,KISS-ICP,0.4705303194873901,0.3211308166049809,0.2257852129936973,0.3439095523295675,0.0156034938581903,2.049774509586133,617.0384041990953
cloister,draco,4957695480.0,3.0,6.0,16.0,4.6,KISS-ICP,0.4705303194873901,0.3211308166049809,0.2257852129936973,0.3439095523295675,0.0156034938581903,2.049774509586133,617.0384041990953
cloister,draco,5048870492.0,3.0,9.0,16.0,4.7,KISS-ICP,0.4705303194873901,0.3211308166049809,0.2257852129936973,0.3439095523295675,0.0156034938581903,2.049774509586133,617.0384041990953
cloister,draco,4957695480.0,6.0,0.0,16.0,4.6,KISS-ICP,0.4705303194873901,0.3211308166049809,0.2257852129936973,0.3439095523295675,0.0156034938581903,2.049774509586133,617.0384041990953
cloister,draco,4957695480.0,6.0,3.0,16.0,4.6,KISS-ICP,0.4705303194873901,0.3211308166049809,0.2257852129936973,0.3439095523295675,0.0156034938581903,2.049774509586133,617.0384041990953
cloister,draco,4957695480.0,6.0,6.0,16.0,4.6,KISS-ICP,0.4705303194873901,0.3211308166049809,0.2257852129936973,0.3439095523295675,0.0156034938581903,2.049774509586133,617.0384041990953
cloister,draco,5048870492.0,6.0,9.0,16.0,4.7,KISS-ICP,0.4705303194873901,0.3211308166049809,0.2257852129936973,0.3439095523295675,0.0156034938581903,2.049774509586133,617.0384041990953
cloister,draco,5048870492.0,9.0,0.0,16.0,4.7,KISS-ICP,0.4705303194873901,0.3211308166049809,0.2257852129936973,0.3439095523295675,0.0156034938581903,2.049774509586133,617.0384041990953
cloister,draco,5048870492.0,9.0,3.0,16.0,4.7,KISS-ICP,0.4705303194873901,0.3211308166049809,0.2257852129936973,0.3439095523295675,0.0156034938581903,2.049774509586133,617.0384041990953
cloister,draco,5048870492.0,9.0,6.0,16.0,4.7,KISS-ICP,0.4705303194873901,0.3211308166049809,0.2257852129936973,0.3439095523295675,0.0156034938581903,2.049774509586133,617.0384041990953
cloister,draco,5048870492.0,9.0,9.0,16.0,4.7,KISS-ICP,0.4705303194873901,0.3211308166049809,0.2257852129936973,0.3439095523295675,0.0156034938581903,2.049774509586133,617.0384041990953
cloister,draco,4121511892.0,0.0,0.0,16.0,3.8,KISS-ICP,0.8135904607076072,0.6310441254785074,0.4903422317082733,0.5135296967590897,0.0365227666714163,3.367242131683581,1844.797343021559
cloister,draco,4121511892.0,0.0,3.0,16.0,3.8,KISS-ICP,0.8135904607076072,0.6310441254785074,0.4903422317082733,0.5135296967590897,0.0365227666714163,3.367242131683581,1844.797343021559
cloister,draco,4121511892.0,3.0,0.0,16.0,3.8,KISS-ICP,0.8135904607076072,0.6310441254785074,0.4903422317082733,0.5135296967590897,0.0365227666714163,3.367242131683581,1844.797343021559
cloister,draco,4121511892.0,3.0,3.0,16.0,3.8,KISS-ICP,0.8135904607076072,0.6310441254785074,0.4903422317082733,0.5135296967590897,0.0365227666714163,3.367242131683581,1844.797343021559
cloister,draco,5502160384.0,0.0,6.0,18.0,5.1,KISS-ICP,0.4484267511803838,0.3435822734891899,0.2679287703111671,0.2881627535234096,0.0242551127268734,2.293411505137291,560.4282181224783
cloister,draco,5588947028.0,0.0,9.0,18.0,5.2,KISS-ICP,0.4484267511803838,0.3435822734891899,0.2679287703111671,0.2881627535234096,0.0242551127268734,2.293411505137291,560.4282181224783
cloister,draco,5502160384.0,3.0,6.0,18.0,5.1,KISS-ICP,0.4484267511803838,0.3435822734891899,0.2679287703111671,0.2881627535234096,0.0242551127268734,2.293411505137291,560.4282181224783
cloister,draco,5588947028.0,3.0,9.0,18.0,5.2,KISS-ICP,0.4484267511803838,0.3435822734891899,0.2679287703111671,0.2881627535234096,0.0242551127268734,2.293411505137291,560.4282181224783
cloister,draco,5502160384.0,6.0,0.0,18.0,5.1,KISS-ICP,0.4484267511803838,0.3435822734891899,0.2679287703111671,0.2881627535234096,0.0242551127268734,2.293411505137291,560.4282181224783
