data_sequence,method,byte_size,encode_speed,decode_speed,quantization_precision,gigabyte_size
underground_mine,cloudini,2409220632,,,0.3,2.2
underground_mine,draco,3296974424,0,6,20,3.1
maths_institute,draco,3418576528,9,6,14,
cloister,draco,4121511892,3,3,16,3.8
underground_mine,uncompressed,8883915700,,,,
underground_mine,draco,2463703764,6,9,14,2.3
maths_institute,draco,3910778672,3,6,18,
cloister,draco,4312582484,3,6,12,4.0
Campus,draco,9702617490,10,10,12,
stairs,draco,1639784952,3,6,12,1.5
underground_mine,draco,3334737900,9,6,20,3.1
Colosseo,draco,21680066826,10,10,8,
Pincio,draco,30000681284,10,10,12,
underground_mine,draco,2453055916,0,0,20,2.3
underground_mine,draco,2697176524,3,9,16,2.5
Pincio,cloudini,35417787480,,,0.01,
underground_mine,draco,3296974424,6,3,20,3.1
maths_institute,draco,2640028980,0,0,14,
cloister,draco,4665217692,0,9,14,4.4
Campus,draco,10054145602,10,10,14,
underground_mine,draco,2253407780,3,6,12,2.1
maths_institute,draco,3418576528,9,3,14,
stairs,draco,2091327408,9,9,16,2.0
stairs,draco,2091327408,9,6,16,2.0
Spagna,cloudini,46403577044,,,0.001,
underground_mine,draco,2410122860,6,6,14,2.2
stairs,draco,1689801728,9,9,12,1.6
quad_easy,draco,3125980514,10,10,8,2.9
underground_mine,draco,2961161592,6,0,18,2.8
maths_institute,draco,3174103348,6,6,12,
cloister,draco,4957695480,3,6,16,4.6
underground_mine,draco,3334737900,6,9,20,3.1
Colosseo,cloudini,26376482167,,,0.1,
cloister,draco,4618507360,0,0,20,4.3
cloister,draco,4560253196,0,6,14,4.3
underground_mine,cloudini,2431806492,,,0.2,2.3
quad_easy,cloudini,3368795635,,,0.6,2.2
DIAG,uncompressed,76275330685,,,,
cloister,draco,5048870492,3,9,16,4.7
quad_easy,draco,3125821050,10,10,7,2.9
underground_mine,draco,1926032108,3,0,12,1.8
maths_institute,draco,3656877248,9,3,16,
maths_institute,draco,3262010796,10,10,12,
maths_institute,cloudini,3608090608,,,0.5,
stairs,draco,1639784952,0,6,12,1.5
maths_institute,draco,3910778672,6,6,18,
maths_institute,draco,3985163396,9,6,18,
stairs,draco,1856494360,9,6,14,1.7
maths_institute,draco,4294576260,6,0,20,
cloister,draco,4343748180,10,10,11,4.1
stairs,draco,1689801728,10,10,12,
cloister,draco,4665217692,9,6,14,4.4
underground_mine,draco,2324557832,0,0,18,2.2
underground_mine,draco,2410122860,6,0,14,2.2
stairs,draco,1639784952,6,0,12,1.5
underground_mine,cloudini,2351975564,,,0.8,2.2
underground_mine,draco,2306068904,3,9,12,2.2
underground_mine,draco,2192356600,3,0,16,2.0
maths_institute,draco,3656877248,9,6,16,
park,cloudini,28055277926,,,0.01,
underground_mine,draco,2324557832,0,3,18,2.2
underground_mine,draco,2463703764,3,9,14,2.3
stairs,draco,2371516800,0,9,18,2.2
park,cloudini,26618529186,,,0.2,24.8
underground_mine,draco,2306068904,9,0,12,2.2
underground_mine,draco,2697176524,9,6,16,2.5
park,draco,23867104184,10,10,12,
maths_institute,draco,2952693764,3,3,18,
stairs,draco,1689801728,9,3,12,1.6
cloister,draco,5588947028,9,0,18,5.2
underground_mine,draco,3296974424,3,6,20,3.1
Pincio,cloudini,33428060192,,,0.1,
DIAG,draco,28967586510,10,10,14,
